,name,category_groups_list,country_code,primary_role,homepage_url
14295,Artionet,"Advertising,Commerce and Shopping,Design,Information Technology,Sales and Marketing,Software",CHE,company,http://www.artionet.ch
14406,Jahia,"Information Technology,Media and Entertainment,Software",CHE,company,http://www.jahia.com
14548,DRAWIN,"Content and Publishing,Data and Analytics,Media and Entertainment,Software",CHE,company,http://www.drawin.fr
14569,NearSoft Europe,Software,CHE,company,http://www.nearsoft.eu
14863,Open Web Technology,Professional Services,CHE,company,http://www.openwebtechnology.com/
14949,Basisnote,"Biotechnology,Internet Services,Sales and Marketing,Science and Engineering",CHE,company,http://www.basisnote.com
15032,STMicroelectronics,"Consumer Electronics,Hardware,Manufacturing,Science and Engineering",CHE,company,http://www.st.com
15091,Bossard Group,"Commerce and Shopping,Manufacturing",CHE,company,http://www.bossard.com/
15116,Hasware,"Design,Internet Services,Software",CHE,company,http://www.virtualpower.ch
15150,Kenta Biotech,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.kentabiotech.com
15553,Arimaz,"Consumer Goods,Gaming,Hardware,Science and Engineering,Software",CHE,company,http://www.arimaz.com
15797,Actionize,"Administrative Services,Information Technology,Other,Software",CHE,company,http://www.actionize.com
15847,Cidway Security,"Apps,Information Technology,Mobile,Platforms,Privacy and Security,Software",CHE,company,http://www.cidway.com
15864,Information Architects,Sales and Marketing,CHE,company,http://ia.net
16181,Principle Energy Limited,"Energy,Natural Resources,Sustainability",CHE,company,http://www.prinenergy.com
16331,Nitec Pharma AG,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.nitecpharma.com/index.asp
16334,Language Direct,"Education,Information Technology,Internet Services,Messaging and Telecommunications",CHE,company,https://www.languagedirect.com
16400,u-blox,"Hardware,Mobile",CHE,company,http://www.u-blox.com
16975,Synosia Therapeutics,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.synosia.com
17063,Aspediens,"Information Technology,Professional Services,Software",CHE,company,http://www.aspediens.com
17360,SmallRivers,"Apps,Community and Lifestyle,Content and Publishing,Media and Entertainment,Software",CHE,company,
17381,SilentSoft,"Manufacturing,Software",CHE,company,http://www.silentsoft.com
17439,SVOX,"Information Technology,Mobile,Transportation",CHE,company,http://www.svox.com
17474,Nestlé,"Consumer Goods,Food and Beverage,Natural Resources,Real Estate,Travel and Tourism",CHE,company,https://www.nestle.com/
17868,Beam Express,"Hardware,Information Technology,Internet Services,Manufacturing,Science and Engineering,Software",CHE,company,http://www.beamexpress.com
18045,smeepe,"Information Technology,Internet Services,Privacy and Security,Sales and Marketing",CHE,company,http://www.smeepe.net
18241,AdNovum,Software,CHE,company,http://www.adnovum.ch
18243,Ergon Informatik,"Hardware,Mobile,Software",CHE,company,http://www.ergon.ch
18490,Genkyotex,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.genkyotex.com
18739,EBD Group,"Biotechnology,Health Care,Professional Services,Science and Engineering",CHE,company,http://www.ebdgroup.com
18873,Diagnoplex,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.diagnoplex.com
19067,NovImmune,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.novimmune.com
19240,Vivendy Therapeutics,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.vivendy.ch
19297,CT Atlantic,"Apps,Biotechnology,Science and Engineering,Software",CHE,company,http://ct-atlantic.com
19484,DSwiss,Privacy and Security,CHE,company,https://www.dswiss.com
19539,ESBATech,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.esbatech.com
