,name,category_groups_list,country_code,primary_role,homepage_url
596998,diktua GmbH,"Information Technology,Professional Services",CHE,company,https://www.diktua.ch
597000,ATON Service,Sales and Marketing,CHE,company,http://www.aton-service.com
597004,AKTS,"Apps,Software",CHE,company,http://www.akts.com
597014,DNAsign SA,"Financial Services,Professional Services",CHE,company,
597015,Akustik & Raum,Manufacturing,CHE,company,https://www.akustik-raum.ch
597017,Audacia,Mobile,CHE,company,
597020,DoDifferent,"Administrative Services,Professional Services",CHE,company,https://dodifferent.com
597033,Doka,"Information Technology,Sales and Marketing",CHE,company,https://www.doka.com
597034,AL-S Pharma,Health Care,CHE,company,
597036,Albis Technologies,Hardware,CHE,company,http://www.albistechnologies.com
597038,"Dolff, Pyschny & Piper","Other,Professional Services",CHE,company,http://www.dpp-plm.ch
597040,Algoril,"Privacy and Security,Sales and Marketing",CHE,company,
597041,Dolfinos,,CHE,company,https://dolfinos.com
597043,AV Preservation by reto.ch,"Media and Entertainment,Video",CHE,company,https://reto.ch/
597046,doppler und saner,"Design,Real Estate",CHE,company,http://www.dopplerundsaner.ch
597050,Dorungo AG,"Information Technology,Internet Services,Manufacturing,Software",CHE,company,
597052,Alpha-O Peptides,"Biotechnology,Health Care,Science and Engineering",CHE,company,https://www.aopeptides.com
597058,DOS Group,Information Technology,CHE,company,https://www.dos-group.com
597065,Avantyard,"Financial Services,Sales and Marketing",CHE,company,http://www.avantyard.ch
597066,DS2 Management,Professional Services,CHE,company,
597070,Digi-Thal,"Commerce and Shopping,Financial Services,Information Technology,Mobile,Payments,Software",CHE,company,http://digi-thal.com
597073,AlveoliX,"Biotechnology,Science and Engineering",CHE,company,http://www.alveolix.com
597076,Avicenna Oncology,"Biotechnology,Science and Engineering",CHE,company,http://www.avicenna-oncology.com
597085,Am Tec Switzerland,"Financial Services,Other,Software",CHE,company,http://www.am-tec.ch
597086,durable planung und beratung,"Energy,Information Technology",CHE,company,http://www.studiodurable.ch
597092,Dynamic Devices,"Hardware,Manufacturing,Science and Engineering,Software",CHE,company,http://www.dynamicdevices.ch
597102,Intelliconcept,"Information Technology,Media and Entertainment,Professional Services,Video",CHE,company,http://www.intelliconcept.ch
597109,Dynetix AG,"Biotechnology,Hardware,Science and Engineering",CHE,company,http://www.dynetix.ch
597111,Azurito,"Financial Services,Software",CHE,company,http://azurito.ch/
597118,Intelligent Insights,"Artificial Intelligence,Data and Analytics,Science and Engineering,Software",CHE,company,https://www.intelligentinsights.ch
597122,BACOBA,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.grow-waedenswil.ch
597123,InterCheese,"Financial Services,Other",CHE,company,https://www.intercheese.ch
597146,Intuitive Collaboration,"Apps,Other,Software",CHE,company,http://www.intuitive-collaboration.com
597147,Balance International Innovations,Health Care,CHE,company,http://www.b2i.info
597151,ebTEC,"Energy,Other,Professional Services",CHE,company,
597157,Ecolistec,"Commerce and Shopping,Hardware,Manufacturing,Software",CHE,company,http://www.ecolistec.ch
597160,Invent Care,"Consumer Electronics,Hardware,Health Care,Software",CHE,company,
597163,Balewa,"Professional Services,Science and Engineering,Sustainability",CHE,company,http://www.balewa.ch/
597165,Edelkrebs AG,"Biotechnology,Science and Engineering",CHE,company,http://www.edelkrebs.ch
597168,Inventum Management,"Hardware,Internet Services,Professional Services",CHE,company,http://inventum.ag
597173,Basis 57 nachhaltige Wassernutzung,"Agriculture and Farming,Food and Beverage",CHE,company,https://www.basis57.ch/
597177,Effizienzagentur Schweiz AG,Professional Services,CHE,company,http://effizienz-ag.ch
597181,IOxOS Technologies,"Hardware,Professional Services,Science and Engineering",CHE,company,http://www.ioxos.ch
597183,Egg Holz Kälin,"Manufacturing,Professional Services",CHE,company,http://www.eggholz.ch
597184,Iqati,"Hardware,Health Care",CHE,company,
597185,BauCloud,"Financial Services,Professional Services",CHE,company,https://www.baucloud.com
597190,Jhco Elastic,Manufacturing,CHE,company,http://www.jhco.ch
597196,Ionitec,"Manufacturing,Real Estate",CHE,company,
597198,Eisenhut & Co. AG,Other,CHE,company,http://www.eisenhut-co.ch
597201,BEEUP,Education,CHE,company,https://www.beeup.com
597222,IP Exchange,Internet Services,CHE,company,https://ip.sx
597226,SmartCredit.io,"Financial Services,Lending and Investments,Other",CHE,company,http://www.smartcredit.io/
597357,Electronicparc,"Consumer Electronics,Hardware,Manufacturing",CHE,company,http://www.electronicparc.ch
597364,Empower Sports AG,Sports,CHE,company,
597368,Endomaterials - Chevalier,"Biotechnology,Health Care,Science and Engineering",CHE,company,
597376,Belenos Clean Power Holding,"Energy,Sustainability",CHE,company,http://www.belenoscleanpower.com/
597378,Energy Saving 2000,"Energy,Other,Professional Services",CHE,company,
597381,Enertronics,"Consumer Electronics,Energy,Hardware,Professional Services",CHE,company,https://www.enertronics.ch
597384,BEO IT,Manufacturing,CHE,company,http://www.beo-it.ch
597388,EngoTech,"Real Estate,Science and Engineering",CHE,company,http://www.engotech.ch
597392,Engineering für Mikrotechnologie + Antriebstechnik,"Health Care,Manufacturing,Science and Engineering",CHE,company,http://www.emagmbh.ch
597393,Best Swiss Products,"Commerce and Shopping,Internet Services",CHE,company,https://bestswiss.ch/
597397,Enluf,"Information Technology,Software,Travel and Tourism",CHE,company,http://enluf.ch
597404,Epicard,Information Technology,CHE,company,http://www.epicard.ch
597414,Bureau Immobilier Genevois - Vuillety Jean-Daniel,Real Estate,CHE,company,
597423,ERR Raumplaner,"Professional Services,Real Estate",CHE,company,https://www.err.ch
597426,Biomit,"Biotechnology,Health Care,Science and Engineering",CHE,company,
597434,Esmolo,"Consumer Electronics,Energy,Hardware,Manufacturing,Natural Resources,Other,Sustainability",CHE,company,http://www.esmolo.com
597435,Bionic Composite Technologies,"Manufacturing,Science and Engineering",CHE,company,http://www.biontec.ch
597438,Etharion,"Education,Software",CHE,company,http://www.etharion.ch
597467,Euchinus,"Information Technology,Other",CHE,company,
597470,EVTEC,"Consumer Electronics,Hardware,Transportation",CHE,company,http://www.evtec.ch
597472,Bitsave,Information Technology,CHE,company,http://www.bitsave.ch
597474,Exen,"Manufacturing,Science and Engineering",CHE,company,
597489,BNA-BS,Manufacturing,CHE,company,http://white-dust.com/
597490,Falcone Specialties,"Food and Beverage,Science and Engineering",CHE,company,https://falcone-specialities.com
597492,Digipharm,"Health Care,Information Technology,Other,Sales and Marketing,Software",CHE,company,https://www.digipharm.ch/
597498,bNovate Technologies,"Biotechnology,Hardware,Information Technology,Manufacturing,Science and Engineering,Software",CHE,company,https://www.bnovate.com/
597506,Bogga Wind Power,"Science and Engineering,Sustainability",CHE,company,http://www.boggawind.com/
597509,FehrAdvice & Partners,"Other,Professional Services",CHE,company,https://fehradvice.com
597516,Felco Motion,Science and Engineering,CHE,company,http://felcomotion.com
597525,FELCO,"Commerce and Shopping,Manufacturing,Other",CHE,company,https://www.felco.com
597527,BoxTango,Transportation,CHE,company,http://boxtango.com
597531,Femto,"Data and Analytics,Manufacturing,Science and Engineering",CHE,company,http://www.femto.ch
597539,Feralco,"Health Care,Manufacturing,Natural Resources,Sustainability",CHE,company,https://feralco.ch
597546,Ferring Galenisches Labor,"Biotechnology,Health Care,Manufacturing,Science and Engineering",CHE,company,
597550,FGen,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://fgen.ch
597557,Fine Energy,"Commerce and Shopping,Energy",CHE,company,http://www.fineenergy.ch
597558,Brainmaze Studios,Software,CHE,company,
597568,Flamentera,Health Care,CHE,company,
597571,Fleig Instrumentenbau,"Manufacturing,Media and Entertainment,Music and Audio",CHE,company,
597573,Flextron,"Government and Military,Privacy and Security",CHE,company,http://www.flextron.ch
597576,BRUSA Elektronik,"Manufacturing,Transportation",CHE,company,http://www.brusa.biz/
597577,FluidSolids,Real Estate,CHE,company,http://www.fluidsolids.com
597578,Brülhart Leadership,Education,CHE,company,http://www.bruelhart-leadership.ch
597583,Fluxim,"Consumer Electronics,Hardware,Manufacturing,Software",CHE,company,https://www.fluxim.com
597586,FLUXRON Solutions,"Energy,Information Technology,Sustainability",CHE,company,http://www.fluxron.com
597587,BS2,Sustainability,CHE,company,http://www.bs2.ch/
597590,ibani.com,"Financial Services,Other,Payments",CHE,company,https://www.ibani.com/
597617,Smex,"Financial Services,Lending and Investments,Other,Payments,Software",CHE,company,https://www.smex.tech/
597624,Mt Pelerin,"Financial Services,Lending and Investments,Other,Payments,Software",CHE,company,https://www.mtpelerin.com/
597761,FLYNT,"Financial Services,Information Technology,Professional Services,Science and Engineering,Software",CHE,company,https://www.flynt.io
597762,Foodarena.ch,"Food and Beverage,Transportation",CHE,company,https://www.foodarena.ch
597768,G-ray Switzerland,"Health Care,Information Technology",CHE,company,http://www.g-ray.ch
597783,Gaia Agora,"Financial Services,Lending and Investments",CHE,company,
597796,Built Tech,,CHE,company,
597800,Gareba,Transportation,CHE,company,http://www.gareba.ch
597805,Burkhardt Logistics und Services,Data and Analytics,CHE,company,
597813,Gastrobroker Group,Food and Beverage,CHE,company,http://www.gastrobroker.de
597820,John Baker,"Food and Beverage,Manufacturing",CHE,company,
597826,gbf Attorneys-at-law,"Financial Services,Government and Military,Other,Privacy and Security,Professional Services",CHE,company,http://www.gbf-legal.ch
597827,Joontos,"Information Technology,Professional Services,Software",CHE,company,
597829,Business Counselors,"Data and Analytics,Professional Services",CHE,company,
597838,Jurasoft,"Information Technology,Other,Software",CHE,company,
597841,Juvaplus,"Consumer Electronics,Design,Hardware,Health Care,Manufacturing,Mobile,Other",CHE,company,http://www.juvaplus.com
597842,Genes Foundation,"Biotechnology,Community and Lifestyle,Health Care,Information Technology,Other",CHE,company,
597844,Bytics Group,"Information Technology,Sales and Marketing",CHE,company,http://www.byticsgroup.com/
597850,Kandou Holding,Financial Services,CHE,company,
597853,Genny Mobility,Health Care,CHE,company,http://mono.gennymobility.com
597857,böckli bühler partner,Information Technology,CHE,company,http://www.boeckli-buehler.ch/
597861,Kellsa Diagnostics,"Biotechnology,Health Care,Sales and Marketing,Science and Engineering",CHE,company,
597863,Geo Energie Suisse,"Energy,Sustainability",CHE,company,http://www.geo-energie.ch
597867,Gewi Energy,"Energy,Sales and Marketing,Sustainability",CHE,company,
597869,Kennwerte,"Internet Services,Real Estate",CHE,company,http://www.kennwerte.ch
597874,Gfg Engineering,"Hardware,Information Technology,Science and Engineering,Software",CHE,company,
597879,Girsberger Informatik,"Data and Analytics,Hardware,Information Technology",CHE,company,http://www.giag.ch
597881,Key of Aurora,Internet Services,CHE,company,http://www.keyofaurora.com
597886,GLASSX,Manufacturing,CHE,company,http://glassx.ch
597888,Kingcost,"Manufacturing,Sales and Marketing",CHE,company,
597895,Kitaclub,Internet Services,CHE,company,https://kitaclub.ch
597916,Global Surface Aktiengesellschaft,"Information Technology,Sales and Marketing",CHE,company,
597917,Casasoft,"Commerce and Shopping,Software",CHE,company,https://casasoft.ch/
597919,Gnothis Holding,Financial Services,CHE,company,
597922,Knorr & Purckhauer Architekten,Real Estate,CHE,company,
597925,Graphical ID,"Financial Services,Lending and Investments,Other",CHE,company,https://graphicalid.ch
597930,Causal,"Financial Services,Information Technology",CHE,company,https://www.causal.ch
597931,Kochpost,"Commerce and Shopping,Food and Beverage,Health Care",CHE,company,http://kochpost.ch
597934,Greenmanagement,Sustainability,CHE,company,http://www.greenmanagement.ch
597942,Kopa Geoservices,Sales and Marketing,CHE,company,
597943,CBusiness Services,Sales and Marketing,CHE,company,http://www.cbusiness-services.ch
597958,Kampfen Fur Architektur,"Financial Services,Real Estate",CHE,company,http://kaempfen.com
597959,Ccat - Dr. R. Apter,Professional Services,CHE,company,
597969,CDQ,Professional Services,CHE,company,https://www.cdq.ch/
597976,Kuferei Suppiger,"Administrative Services,Food and Beverage,Manufacturing",CHE,company,http://www.kueferei-suppiger.ch
597977,Gysi + Berglas AG,"Manufacturing,Real Estate,Sustainability",CHE,company,http://www.gysiberglas.ch
597986,CE cideon engineering,Transportation,CHE,company,http://www.cideon-engineering.com
597990,H.GLASS,"Energy,Manufacturing,Natural Resources,Sustainability",CHE,company,http://h.glass
597997,Labor Laupeneck,Health Care,CHE,company,http://www.labor-laupeneck.ch
597999,Haas ProjektConsulting,"Other,Professional Services",CHE,company,https://www.projektconsulting.ch
598000,Landplan,"Administrative Services,Other,Real Estate,Sustainability",CHE,company,http://www.landplan.ch
598002,Celestrius,"Hardware,Science and Engineering",CHE,company,http://www.celestrius.com/
598008,haus-selber-verkaufen.ch,"Professional Services,Real Estate",CHE,company,http://haus-selber-verkaufen.ch
598011,Lantern Solutions,"Education,Information Technology,Software",CHE,company,http://www.lantern.ch
598012,Cell Culture Technologies,"Biotechnology,Science and Engineering",CHE,company,http://www.cellculture.com
598015,Helbling,Professional Services,CHE,company,https://www.helbling.ch
598023,Heller Enterprises,"Administrative Services,Other",CHE,company,https://www.hellerenter.ch
598034,Cembra Money Bank,"Financial Services,Payments",CHE,company,https://www.cembra.ch
598036,Heuris,Information Technology,CHE,company,
598038,CEMEX Research Group,Manufacturing,CHE,company,https://www.cemex.com/locations/switzerland
598042,HHF Architects,"Design,Real Estate",CHE,company,http://www.hhf.ch
598044,CH Precision,"Community and Lifestyle,Manufacturing",CHE,company,https://www.ch-precision.com
598049,Logival,"Financial Services,Professional Services,Software",CHE,company,
598051,Challenge Earth,Information Technology,CHE,company,http://www.drallo.ch
598054,CHONDRONEST,"Biotechnology,Health Care,Real Estate,Science and Engineering",CHE,company,http://www.chondronest.com/
598055,Luma Delikatessen,"Biotechnology,Food and Beverage,Science and Engineering",CHE,company,https://luma-delikatessen.ch
598059,Hinterland International,"Manufacturing,Transportation",CHE,company,http://www.fobro-mobil.ch
598060,CHROME Imaging,Information Technology,CHE,company,http://www.chrome-imaging.com
598062,Lyfjos,"Health Care,Other,Professional Services",CHE,company,http://lyfjos.com
598064,HiQScreen,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.hiqscreen.com
598066,M & BD Consulting,Professional Services,CHE,company,http://mbdconsulting.ch
598085,Leverage Experts GmbH,"Financial Services,Lending and Investments,Professional Services",CHE,company,http://www.leverage-experts.com
598182,Hospitality Beratung Rufer Hohl,"Health Care,Information Technology",CHE,company,http://www.businesscenter-liestal.ch
598186,High Power Lithium,"Energy,Science and Engineering",CHE,company,http://www.highpowerlithium.com
598194,Biopôle,"Biotechnology,Science and Engineering",CHE,company,https://www.biopole.ch
598196,HRC Retail Concepts,"Design,Sales and Marketing",CHE,company,http://hrc4web.ch
598200,MADD Technologies,"Consumer Electronics,Hardware,Manufacturing",CHE,company,http://www.madd.ch
598203,HSi Elektronik AG,"Consumer Electronics,Hardware,Internet Services,Mobile,Software",CHE,company,http://www.hsi-ag.ch
598205,MaestroHeart,"Biotechnology,Health Care,Science and Engineering",CHE,company,
598206,Myovec,"Biotechnology,Health Care,Science and Engineering",CHE,company,
598210,Makora,"Data and Analytics,Health Care,Software",CHE,company,http://makora.ch
598215,Mamutec,"Manufacturing,Other",CHE,company,http://www.mamutec.com
598216,Human Capital Academy,"Data and Analytics,Professional Services,Software",CHE,company,https://www.human-capital-academy.com
598217,Markimo,"Real Estate,Sales and Marketing",CHE,company,http://www.markimo.ch
598219,myVitali,"Health Care,Sports",CHE,company,http://www.myvitali.com/
598220,Mühlebach,Information Technology,CHE,company,http://www.muehlebach-muehle.ch
598222,Marquise Technologies,"Information Technology,Media and Entertainment,Software,Video",CHE,company,http://www.marquise-tech.com
598223,Hunziker Partner Ag,Energy,CHE,company,http://www.hunzikerwin.ch
598225,MÜLLER-GAUSS,,CHE,company,https://www.gauss-consulting.ch
598226,Mas Information Delivery,Internet Services,CHE,company,
598229,NANOGA,"Clothing and Apparel,Commerce and Shopping,Community and Lifestyle,Design,Information Technology",CHE,company,
598230,iart,"Real Estate,Science and Engineering,Software",CHE,company,https://iart.ch
598232,Mechmine,"Artificial Intelligence,Data and Analytics,Hardware,Information Technology,Natural Resources,Science and Engineering,Software",CHE,company,https://mechmine.com
598236,ICIT,"Financial Services,Professional Services,Software",CHE,company,
598237,Medplan Engineering,"Health Care,Information Technology,Real Estate,Sales and Marketing,Software",CHE,company,https://www.medplan.ch
598244,NanoSys,"Information Technology,Manufacturing,Real Estate",CHE,company,http://www.nanosys.ch
598245,Media Care Solutions,"Advertising,Health Care,Sales and Marketing",CHE,company,http://www.mecaso.ch
598246,IdeaPura,"Commerce and Shopping,Professional Services",CHE,company,http://www.ideapura.ch
598251,Swissnanocoat,Design,CHE,company,http://www.swissnanocoat.com/
598253,IHT Industrie Haute Technologie,"Manufacturing,Science and Engineering",CHE,company,http://www.iht.ch
598254,Media Focus Schweiz,"Advertising,Sales and Marketing",CHE,company,http://www.mediafocus.ch
598258,II-VI Laser Enterprise,"Hardware,Manufacturing,Science and Engineering",CHE,company,http://www.laserenterprise.com
598259,MediBridge,"Health Care,Professional Services",CHE,company,http://medibridge.ch
598260,Medica Medizinische Laboratorien,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.medica-labor.ch
598263,NEP Solar,"Energy,Science and Engineering,Sustainability",CHE,company,http://www.nep-solar.com
598264,IMMOOS,"Manufacturing,Privacy and Security",CHE,company,https://www.immoos.com
598266,ImmunOs Therapeutics,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.immunostherapeutics.com
598267,Medivation,"Health Care,Manufacturing,Software",CHE,company,http://www.medivation.ch
598268,Neroxis,"Hardware,Science and Engineering",CHE,company,http://www.neroxis.ch/
598269,Impuls,Education,CHE,company,http://www.impulsag.ch
598272,IMPULS,"Professional Services,Science and Engineering,Sustainability",CHE,company,https://www.impulsthun.ch
598275,Meierhofer,"Health Care,Information Technology",CHE,company,https://www.meierhofer.com
598277,Netlive IT,Internet Services,CHE,company,http://www.netlive.ch/
598278,MelCure,"Biotechnology,Health Care,Manufacturing,Science and Engineering",CHE,company,
598279,imtmedical,"Biotechnology,Health Care,Science and Engineering",CHE,company,https://www.imtmedical.com
598280,Incite,"Information Technology,Other,Software",CHE,company,https://www.incite.ch
598284,Incoat,"Manufacturing,Science and Engineering",CHE,company,http://www.incoat.ch
598285,Memocare,"Financial Services,Health Care,Other",CHE,company,https://www.memocare.com
598287,InCube,"Artificial Intelligence,Data and Analytics,Information Technology,Professional Services,Science and Engineering,Software",CHE,company,http://www.incubegroup.com
598288,Menuiserie-scierie Lionel & Vincent Bornoz,Real Estate,CHE,company,
598290,Infergen,"Biotechnology,Health Care,Other,Science and Engineering",CHE,company,
598291,Messerli & Partner,"Biotechnology,Education,Health Care,Manufacturing,Science and Engineering",CHE,company,http://messerli-partner.com
598292,InfoCodex Semantic Technologies,"Information Technology,Software",CHE,company,http://www.infocodex.com
598294,meteoPRIME,Other,CHE,company,http://www.meteoprime.ch
598297,Neuristix,"Education,Software",CHE,company,http://www.karismath.com
598299,Infra Support,"Information Technology,Software",CHE,company,http://www.infrasupport.ch
598300,Meteso,"Apps,Health Care,Software",CHE,company,
598302,New Celio Electronics,Information Technology,CHE,company,http://www.gardenghi.org
598303,Metoyoubag,"Financial Services,Other,Professional Services",CHE,company,https://metoyoubag.com
598304,Infrajet,"Other,Professional Services",CHE,company,
598306,MIAC,Health Care,CHE,company,http://miac.swiss
598307,Nexatio,Health Care,CHE,company,
598311,Innovationsplatform.ch,"Other,Professional Services",CHE,company,http://innovationsplattform.ch
598312,Micro Crystal,"Consumer Electronics,Hardware,Manufacturing,Other",CHE,company,http://www.microcrystal.com
598314,microGauge,"Hardware,Manufacturing",CHE,company,http://www.microgauge.ch
598315,Inrate,"Content and Publishing,Media and Entertainment",CHE,company,https://www.inrate.com
598317,WATERjet,Manufacturing,CHE,company,http://www.waterjet.ch
598318,Miki Advanced Composites,Manufacturing,CHE,company,
598378,RMT Staad,"Consumer Electronics,Hardware,Manufacturing,Transportation",CHE,company,http://www.rmt-swiss.ch
598380,Rod Kommunikation,"Advertising,Sales and Marketing",CHE,company,https://www.rod.ag
598382,Rolf Wehrli Schreinerei,"Design,Manufacturing,Real Estate",CHE,company,http://rolfwehrli.ch
598384,Rotho Advanced Solutions,"Commerce and Shopping,Consumer Goods,Other",CHE,company,http://www.rotho.com
598386,Royal Tag,"Consumer Electronics,Hardware,Manufacturing",CHE,company,http://www.royal-tag.com
598387,Ruppert Composite,"Manufacturing,Real Estate",CHE,company,https://www.ruppert-composite.ch
598390,Saastal Marketing,"Transportation,Travel and Tourism",CHE,company,https://www.saas-fee.ch
598391,SAGE Group,"Financial Services,Information Technology,Software",CHE,company,https://www.sage.ch
598392,Saiba,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://saiba-biotech.com
598393,Saibro,Manufacturing,CHE,company,http://www.saibro.ch
598394,San-tech Surgical,"Biotechnology,Manufacturing,Science and Engineering",CHE,company,
598396,SATT Gems,"Consumer Goods,Manufacturing",CHE,company,https://www.sattgems.ch
598397,Savannah Simulations,"Information Technology,Software",CHE,company,http://www.savannah-simulations.com
598400,Savelli,Manufacturing,CHE,company,
598401,SBEC,Professional Services,CHE,company,http://sbec.ch
598402,Schiess,"Community and Lifestyle,Education,Health Care",CHE,company,https://www.schiess.ch
598403,Schockguyan,"Real Estate,Transportation",CHE,company,http://schockguyan.ch
598404,Schreinerei Schneider,"Design,Real Estate",CHE,company,http://www.schreinerei-schneider.ch
598405,Scientis Pharma,"Biotechnology,Consumer Goods,Science and Engineering",CHE,company,https://scientispharma.com
598464,Nexilis,"Biotechnology,Manufacturing,Science and Engineering",CHE,company,http://www.nexilis.ch/
598470,nolax,Science and Engineering,CHE,company,http://www.nolax.com
598471,Sentiment Studies,"Financial Services,Other,Professional Services",CHE,company,
598472,Mistral Engines,"Manufacturing,Science and Engineering",CHE,company,http://www.mistral-engines.com
598476,Mitloedi Textildruck,Manufacturing,CHE,company,http://www.mitloedi.com
598480,Sharely,"Commerce and Shopping,Community and Lifestyle",CHE,company,https://sharely.ch
598483,Mivital,Other,CHE,company,
598484,NOMADES Swiss,"Health Care,Information Technology",CHE,company,http://www.nomades-swiss.com/index.php
598488,Moca Mobile Camp,"Apps,Information Technology,Mobile,Software",CHE,company,
598490,Shiptec,"Manufacturing,Professional Services,Real Estate,Science and Engineering",CHE,company,http://www.shiptec.ch
598493,Novacurie,"Biotechnology,Health Care,Science and Engineering",CHE,company,
598494,Montavent,"Energy,Natural Resources,Other,Professional Services,Real Estate,Sustainability",CHE,company,http://www.montavent.ch
598513,Ms Mechanik,"Manufacturing,Science and Engineering",CHE,company,http://www.ms-mechanik.ch
598515,Swiss Internet Services,"Internet Services,Other,Professional Services,Software",CHE,company,
598517,Skin Cell Technologies,"Biotechnology,Professional Services,Science and Engineering",CHE,company,
598530,Sitasys,"Information Technology,Privacy and Security",CHE,company,https://www.sitasys.com
598569,Oculox Technology,"Health Care,Manufacturing",CHE,company,http://www.ehsam.eu/
598572,Snowpulse,"Commerce and Shopping,Sports",CHE,company,http://www.snowpulse.com
598574,ONDACO,Professional Services,CHE,company,https://ondaco.ch
598578,My Startup Fiduciaire,"Financial Services,Professional Services",CHE,company,http://my-startup.ch
598582,Solamare,"Financial Services,Health Care,Real Estate",CHE,company,
598584,Onefive,Manufacturing,CHE,company,http://www.onefive.com/
598585,Solarpartner,"Energy,Natural Resources,Sustainability",CHE,company,http://www.solarpartner-systeme.com
598591,Swissrehamed,Health Care,CHE,company,http://www.swissrehamed.ch
598592,Solaxess,"Consumer Electronics,Hardware,Manufacturing,Science and Engineering",CHE,company,http://www.solaxess.ch
598596,SOLTAR,"Financial Services,Manufacturing,Transportation",CHE,company,http://soltar.biz
598602,Swortec,"Biotechnology,Education,Health Care,Other,Science and Engineering",CHE,company,http://www.swortec.ch
598604,Swwc Martin,"Hardware,Sustainability",CHE,company,
598605,SwissShops.ch,"Commerce and Shopping,Internet Services",CHE,company,https://www.SwissShops.ch
598613,Synopsis,Education,CHE,company,https://www.synopsis-ag.ch
598617,OphthaMetrics,Health Care,CHE,company,http://www.ophthametrics.com/
598622,Systemorph,"Financial Services,Real Estate,Software",CHE,company,http://www.systemorph.com
598632,Sowoon Technologies,"Information Technology,Other",CHE,company,http://www.sowoon.com
598642,Net Design Agency,Internet Services,CHE,company,https://www.agencenetdesign.com
598643,Spaceliberty Isabel Molina Wiener,Professional Services,CHE,company,
598645,Opticalight,Manufacturing,CHE,company,http://opticalight.ch/
598648,SpectraFlow Analytics,"Consumer Electronics,Data and Analytics,Hardware,Natural Resources,Software",CHE,company,http://www.spectraflow-analytics.com
598657,Speedel Bio,"Data and Analytics,Design,Government and Military,Privacy and Security",CHE,company,
598659,Tabrasco Group,"Software,Sports",CHE,company,http://www.tabrasco.com
598664,Speedlingua,"Education,Other",CHE,company,http://home.speedlingua.com
598667,Taiga Elements,"Energy,Natural Resources,Professional Services,Sustainability",CHE,company,http://www.taiga-elements.com
598669,Orgelbau Kuhn,Manufacturing,CHE,company,http://www.orgelbau.ch
598676,Tatentrager,"Apps,Media and Entertainment,Software,Video",CHE,company,http://tatentraeger.ch
598688,Tebetec,"Real Estate,Sales and Marketing",CHE,company,http://www.tebetec.com
598689,Spirochrome,"Biotechnology,Science and Engineering",CHE,company,https://spirochrome.com
598690,orphanalytics,Software,CHE,company,http://www.orphanalytics.com/
598698,Squipe,"Consumer Electronics,Hardware,Manufacturing,Other,Sports",CHE,company,http://www.squipe.ch
598706,Tedec,"Manufacturing,Real Estate",CHE,company,http://tedec.ch
598712,Srm-Projects,"Administrative Services,Other",CHE,company,http://www.srm-projects.ch
598716,TEL Solar Holding,"Manufacturing,Other",CHE,company,
598718,Tenon Technology,"Biotechnology,Health Care,Manufacturing,Sales and Marketing,Science and Engineering",CHE,company,
598719,outdoorid services et technologies,Community and Lifestyle,CHE,company,
598720,Swiss Stem Cells Biotech,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.stembank.ch
598722,Tense Up,"Health Care,Professional Services",CHE,company,https://tenseup.ch
598727,Terrasense Switzerland,Professional Services,CHE,company,http://www.terrasense.ch
598735,Samuel Staff Finder,"Information Technology,Other,Professional Services",CHE,company,http://www.ssf-gmbh.ch
598737,PaderTeG International,"Financial Services,Health Care,Manufacturing,Mobile",CHE,company,
598740,Stamfag,"Manufacturing,Software",CHE,company,http://www.stamfag.ch
598743,TH Conservations,Real Estate,CHE,company,http://www.th-conservations.ch
598744,Stat Peel,"Hardware,Science and Engineering",CHE,company,http://statpeel.com
598859,Carunda24,Health Care,CHE,company,https://www.carunda24.com/
598864,Partaz,Design,CHE,company,
598865,Stemedica International,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://stemedica-intl.com
598874,The Genetics Company,"Health Care,Other",CHE,company,
598875,Pathexpress,"Financial Services,Health Care,Manufacturing",CHE,company,
598880,Step-Tec,Manufacturing,CHE,company,http://www.step-tec.com
598882,ThermaTher,"Health Care,Manufacturing",CHE,company,
598887,SteriLux,Health Care,CHE,company,http://www.sterilux.ch
598901,StormCorp,"Data and Analytics,Financial Services,Lending and Investments,Professional Services,Software",CHE,company,http://www.stormcorp.ch
598909,PC Engines,Information Technology,CHE,company,https://www.pcengines.ch/
598911,tikiCheck,"Other,Professional Services",CHE,company,http://www.tikicheck.ch
598917,STRATXX,"Hardware,Science and Engineering,Software",CHE,company,http://www.stratxx.com
598926,TLT Medical,"Hardware,Health Care,Science and Engineering",CHE,company,
598933,Streamer,"Consumer Electronics,Hardware,Manufacturing,Sales and Marketing",CHE,company,https://www.streamer-electric.com
598940,Streckeisen,Manufacturing,CHE,company,
598942,Tokiwi,"Apps,Internet Services,Mobile,Professional Services,Software",CHE,company,https://tokiwi.ch
598957,Studentlab,"Design,Information Technology,Software",CHE,company,http://studentlab.ch
598962,pl LEHMANN,Manufacturing,CHE,company,http://www.lehmann-rotary-tables.com
598963,SUI Sport Units of Innovation,"Sales and Marketing,Sports",CHE,company,
